player_name,bookmaker,line,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge
Jalen Smith,FanDuel,12.5,10.782669599055362,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.48581617766250607,0.5141838223374939,-0.11358370533778284,0.11358370533778284,under,0.11358370533778284
Walter Clayton Jr.,DraftKings,9.5,8.514121111718364,4.0,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5330897279740154,0.4669102720259846,-0.11194990027355156,0.1119499002735515,under,0.1119499002735515
Carlton Carrington,FanDuel,13.5,12.693649225983469,7.988881162104127,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.532258064516129,0.4677419354838709,-0.11111823681566513,0.11111823681566524,under,0.11111823681566524
Taurean Prince,DraftKings,7.5,6.001394442048282,4.366539438350075,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4833368048323266,0.5166631951676735,-0.11110433250760338,0.11110433250760332,under,0.11110433250760332
Walter Clayton Jr.,BetOnline.ag,9.5,8.514121111718364,4.0,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5318542641970282,0.4681457358029717,-0.11071443649656432,0.11071443649656443,under,0.11071443649656443
VJ Edgecombe,FanDuel,21.5,19.126445035529805,9.008637830191397,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4808467741935484,0.5191532258064516,-0.10861430186882515,0.10861430186882515,under,0.10861430186882515
Reed Sheppard,FanDuel,15.5,14.068321616739732,6.945022198188675,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4808467741935484,0.5191532258064516,-0.10861430186882515,0.10861430186882515,under,0.10861430186882515
Kristaps Porzingis,FanDuel,17.5,15.351167341168804,7.717224601860156,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4808467741935484,0.5191532258064516,-0.10861430186882515,0.10861430186882515,under,0.10861430186882515
Dylan Harper,DraftKings,15.5,12.075024899789202,6.733003292241386,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.4896023956080519,0.510397604391948,-0.10778421378987008,0.10778421378987013,under,0.10778421378987013
Taurean Prince,FanDuel,6.5,6.001394442048282,4.366539438350075,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5281576830249397,0.4718423169750604,-0.10701785532447583,0.10701785532447572,under,0.10701785532447572
Jonathan Kuminga,FanDuel,11.5,11.07231823376118,8.957306142659956,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5281576830249397,0.4718423169750604,-0.10701785532447583,0.10701785532447572,under,0.10701785532447572
Jonathan Kuminga,DraftKings,11.5,11.07231823376118,8.957306142659956,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5259594617046021,0.47404053829539794,-0.10481963400413818,0.10481963400413818,under,0.10481963400413818
Paul Reed Jr,DraftKings,8.5,8.252007479239374,5.108815909777922,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5259594617046021,0.47404053829539794,-0.10481963400413818,0.10481963400413818,under,0.10481963400413818
G.G. Jackson,DraftKings,15.5,15.123440533497115,4.0,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5259594617046021,0.47404053829539794,-0.10481963400413818,0.10481963400413818,under,0.10481963400413818
Kevin Durant,DraftKings,26.5,25.01079701771033,6.13188388670235,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4770335727409387,0.5229664272590613,-0.10480110041621549,0.10480110041621549,under,0.10480110041621549
Julius Randle,DraftKings,21.5,19.16368168562824,7.860590874030329,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.47614107883817425,0.5238589211618258,-0.10390860651345102,0.10390860651345102,under,0.10390860651345102
Duncan Robinson,FanDuel,11.5,10.147762297931301,5.6460408940936455,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.47591522157996147,0.5240847784200385,-0.10368274925523824,0.10368274925523824,under,0.10368274925523824
Jalen Wilson,FanDuel,10.5,7.8543038395363975,5.498484639728789,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.47591522157996147,0.5240847784200385,-0.10368274925523824,0.10368274925523824,under,0.10368274925523824
Ziaire Williams,FanDuel,10.5,10.060764326148306,6.258327785172869,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5240847784200385,0.47591522157996147,-0.10294495071957466,0.10294495071957466,under,0.10294495071957466
Deni Avdija,FanDuel,24.5,24.061507870811187,8.475454756727421,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5240847784200385,0.47591522157996147,-0.10294495071957466,0.10294495071957466,under,0.10294495071957466
Paul Reed Jr,FanDuel,8.5,8.252007479239374,5.108815909777922,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5240847784200385,0.47591522157996147,-0.10294495071957466,0.10294495071957466,under,0.10294495071957466
G.G. Jackson,BetOnline.ag,16.5,15.123440533497115,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.47438944435338465,0.5256105556466153,-0.10215697202866142,0.10215697202866147,under,0.10215697202866147
Paul George,DraftKings,15.5,13.694009805851122,7.1871799445648925,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.47404053829539794,0.5259594617046021,-0.10180806597067471,0.10180806597067471,under,0.10180806597067471
Jayson Tatum,DraftKings,19.5,19.079615031292644,5.473166867139699,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5217643644805572,0.47823563551944287,-0.10062453678009331,0.10062453678009325,under,0.10062453678009325
Ousmane Dieng,FanDuel,11.5,9.50721218656437,5.711586664161031,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4718423169750604,0.5281576830249397,-0.09960984465033718,0.09960984465033706,under,0.09960984465033706
G.G. Jackson,FanDuel,16.5,15.123440533497115,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4718423169750604,0.5281576830249397,-0.09960984465033718,0.09960984465033706,under,0.09960984465033706
Ousmane Dieng,DraftKings,11.5,9.50721218656437,5.711586664161031,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4710743801652893,0.5289256198347108,-0.09884190784056607,0.09884190784056601,under,0.09884190784056601
Jaylin Williams,DraftKings,5.5,6.675102276385375,8.517302650748324,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.4513606919604917,0.5486393080395082,0.09728184197615991,-0.09728184197615986,over,0.09728184197615991
Kevin Durant,BetOnline.ag,26.5,25.01079701771033,6.13188388670235,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4693877551020409,0.5306122448979592,-0.09715528277731766,0.09715528277731755,under,0.09715528277731755
Nickeil Alexander-Walker,DraftKings,18.5,18.483955074403195,7.453559924999308,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.517591059602649,0.48240894039735094,-0.09645123190218508,0.09645123190218519,under,0.09645123190218519
Victor Wembanyama,BetOnline.ag,27.5,24.241756464442062,9.41393765765538,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.4773429454170958,0.5226570545829042,-0.09552476359891399,0.09552476359891393,under,0.09552476359891393
Max Strus,FanDuel,9.5,7.130393544101913,4.527692569068714,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4677419354838709,0.532258064516129,-0.09550946315914766,0.09550946315914777,under,0.09550946315914777
Paul George,FanDuel,15.5,13.694009805851122,7.1871799445648925,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.4677419354838709,0.532258064516129,-0.09550946315914766,0.09550946315914777,under,0.09550946315914777
Jalen Duren,DraftKings,23.5,18.81420785712805,8.184674024595527,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.47614107883817425,0.5238589211618258,-0.09432289701999241,0.09432289701999241,under,0.09432289701999241
Cason Wallace,BetOnline.ag,6.5,8.088401015339713,4.2229531531066575,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.4564539116366858,0.5435460883633142,0.09218862229996583,-0.09218862229996583,over,0.09218862229996583
Donovan Mitchell,FanDuel,29.5,25.558002565982978,4.762119042797824,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.4735298908617039,0.5264701091382962,-0.09171170904352205,0.091711709043522,under,0.091711709043522
Ausar Thompson,DraftKings,9.5,9.401155242143835,5.291502622129178,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.512482836100362,0.487517163899638,-0.09134300839989817,0.09134300839989812,under,0.09134300839989812
Victor Wembanyama,FanDuel,27.5,24.241756464442062,9.41393765765538,"(-5.0, -3.0]",0.38181818181818183,0.6181818181818182,0.4718423169750604,0.5281576830249397,-0.09002413515687857,0.09002413515687846,under,0.09002413515687846
Jamir Watkins,FanDuel,9.5,8.173441907940285,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.46209273182957394,0.5379072681704261,-0.08986025950485071,0.08986025950485066,under,0.08986025950485066
Kevin Durant,FanDuel,26.5,25.01079701771033,6.13188388670235,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.46209273182957394,0.5379072681704261,-0.08986025950485071,0.08986025950485066,under,0.08986025950485066
